Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
8617,0.3952,0.3602,0.3806,0.3732,0.0,0.0,0.0,0.0
34427,0.3068,0.249,0.3204,0.388,0.0146,0.0,0.0,0.1842
91086,0.2374,0.1964,0.0818,0.1122,0.0002,0.4142,0.314,0.0002
8613,0.2612,0.3346,0.4132,0.2106,0.0002,0.0002,0.0002,0.0002
34423,0.1218,0.1246,0.4842,0.4122,0.0002,0.0002,0.0002,0.0002
72859,0.1242,0.0916,0.0302,0.3844,0.0,0.0,0.0,0.0
34429,0.1228,0.0636,0.2878,0.362,0.0002,0.0,0.0,0.0178
17887,0.1352,0.3724,0.1318,0.458,0.0002,0.0,0.0,0.0002
567902,0.2072,0.0126,0.2554,0.1942,0.4292,0.0,0.0,0.0168
828893,0.3542,0.1808,0.4666,0.1288,0.0002,0.0286,0.2874,0.0002
19102,0.2256,0.3682,0.2,0.3604,0.0,0.0,0.0,0.0
19103,0.2422,0.0928,0.1696,0.3696,0.1446,0.0,0.0,0.4018
19100,0.2736,0.0296,0.3438,0.3524,0.0,0.0,0.0,0.0
19107,0.3454,0.1488,0.3158,0.4724,0.1386,0.0,0.0,0.0308
533053,0.0622,0.1168,0.0672,0.3556,0.0204,0.0,0.0,0.292
531518,0.3454,0.0702,0.158,0.3264,0.0002,0.4814,0.3572,0.0002
183022,0.2148,0.4098,0.48,0.2242,0.0002,0.0002,0.0002,0.0002
183023,0.493,0.0222,0.4356,0.1316,0.0002,0.0582,0.4058,0.0002
183021,0.3186,0.0024,0.1374,0.2158,0.0002,0.3626,0.491,0.0002
91550,0.3566,0.1468,0.3742,0.0818,0.0,0.0,0.0,0.0
35487,0.3256,0.2048,0.2694,0.0364,0.0798,0.0,0.0,0.0218
35486,0.1756,0.0602,0.4144,0.3672,0.0,0.0,0.0,0.0
35483,0.2872,0.3088,0.333,0.0872,0.0,0.0,0.0,0.0
35482,0.3902,0.1788,0.0846,0.2222,0.0,0.0,0.0,0.0
542299,0.0372,0.4892,0.1214,0.1738,0.0,0.0,0.0,0.0
11487,0.2484,0.0888,0.0304,0.0104,0.0002,0.0,0.0,0.0048
11486,0.3736,0.2944,0.4874,0.4614,0.0002,0.0002,0.0002,0.0002
11485,0.0618,0.0618,0.3958,0.4904,0.0002,0.0,0.0,0.0002
11483,0.4492,0.1774,0.162,0.0478,0.0024,0.0,0.0,0.0
27103,0.4216,0.3994,0.4506,0.3384,0.0002,0.0044,0.0278,0.0002
551267,0.2036,0.1216,0.301,0.3146,0.0002,0.0002,0.0002,0.0002
551262,0.342,0.43,0.3616,0.3422,0.0,0.0,0.0,0.0002
551260,0.25,0.12,0.1138,0.222,0.0604,0.0,0.0006,0.3586
552083,0.0272,0.168,0.0702,0.1042,0.0002,0.0002,0.0002,0.0002
18839,0.0036,0.1092,0.1064,0.2634,0.0002,0.0002,0.0002,0.0002
552086,0.2198,0.058,0.2332,0.4,0.4304,0.0,0.0,0.0438
552087,0.2494,0.1654,0.372,0.4348,0.0002,0.297,0.294,0.0002
43485,0.4606,0.0358,0.1298,0.4016,0.0002,0.4414,0.2764,0.0002
43487,0.23,0.3966,0.2618,0.3872,0.0006,0.0,0.0,0.0576
43483,0.1782,0.3442,0.455,0.1566,0.0834,0.0,0.0,0.001
559236,0.3586,0.2282,0.1928,0.4752,0.0002,0.0002,0.0002,0.0002
542319,0.446,0.0738,0.3232,0.111,0.0046,0.0,0.0,0.064
21887,0.3988,0.4148,0.3056,0.1456,0.0002,0.3622,0.1542,0.0002
98702,0.2682,0.3782,0.2692,0.2356,0.1452,0.0,0.0,0.328
297642,0.4452,0.4928,0.4028,0.4052,0.0002,0.0,0.0002,0.0004
101087,0.254,0.1704,0.2858,0.4112,0.2304,0.0,0.0,0.2636
297641,0.3672,0.0328,0.1076,0.4746,0.0002,0.0,0.0,0.004
297646,0.2462,0.083,0.1768,0.3482,0.0,0.0,0.0,0.0
297644,0.409,0.3456,0.1284,0.2458,0.0,0.0,0.0,0.0
557773,0.1952,0.0256,0.4244,0.2086,0.0002,0.454,0.2316,0.0002
529101,0.3054,0.2848,0.3324,0.3986,0.0002,0.0004,0.0538,0.0002
576105,0.3974,0.4832,0.4876,0.4048,0.0002,0.0334,0.4336,0.0002
42683,0.3722,0.3632,0.1542,0.3424,0.0002,0.0002,0.0062,0.0002
576106,0.3608,0.1286,0.2466,0.4842,0.0002,0.0,0.0002,0.0002
42685,0.0694,0.162,0.316,0.395,0.0002,0.0226,0.1768,0.0002
117375,0.3294,0.2292,0.2972,0.2364,0.0012,0.0206,0.0658,0.0192
576102,0.3614,0.2728,0.3494,0.4658,0.0002,0.0004,0.125,0.0002
576108,0.3888,0.2312,0.2028,0.2978,0.0,0.0,0.0,0.0
550591,0.2992,0.3296,0.3838,0.39,0.0002,0.32,0.2728,0.0204
166094,0.484,0.0794,0.4306,0.2664,0.0002,0.0,0.0002,0.001
166095,0.458,0.4508,0.1178,0.1224,0.0,0.0,0.0,0.0
166093,0.1144,0.2988,0.2746,0.055,0.0002,0.0,0.0,0.0004
153053,0.0802,0.0628,0.2732,0.2738,0.0002,0.1904,0.1946,0.0002
4494,0.014,0.3494,0.0108,0.405,0.1246,0.0,0.0,0.0
26270,0.1936,0.2532,0.4354,0.4212,0.0002,0.184,0.4106,0.0002
85487,0.3666,0.4632,0.2698,0.3766,0.0016,0.0,0.0246,0.0338
9373,0.4136,0.156,0.136,0.301,0.0,0.0,0.0,0.0
546103,0.3452,0.1266,0.3752,0.3646,0.0032,0.0,0.0032,0.012
166894,0.448,0.3952,0.225,0.082,0.1776,0.0,0.0,0.1844
84029,0.0348,0.1792,0.002,0.28,0.0318,0.0,0.0,0.0
116391,0.0664,0.049,0.2192,0.1916,0.0002,0.0002,0.0002,0.0002
116399,0.062,0.0794,0.2358,0.2126,0.0002,0.0002,0.0002,0.0002
2411,0.4454,0.2714,0.2176,0.4996,0.4478,0.0,0.0,0.3478
558011,0.0732,0.1378,0.1214,0.3848,0.0002,0.0002,0.002,0.0002
2143,0.3356,0.3298,0.1794,0.4944,0.4094,0.0,0.0,0.2754
2142,0.2626,0.3798,0.2282,0.4172,0.0,0.0,0.0,0.0
2141,0.2202,0.3212,0.0706,0.3998,0.0,0.0,0.0,0.0002
4974,0.0702,0.2346,0.0002,0.1476,0.0002,0.0022,0.1154,0.0002
552143,0.4548,0.0482,0.3914,0.2058,0.0002,0.0002,0.0428,0.0002
41886,0.0906,0.4998,0.31,0.1576,0.0018,0.0,0.0,0.0
2149,0.0428,0.2108,0.1554,0.4652,0.0,0.0,0.0024,0.0
109214,0.1352,0.149,0.3142,0.114,0.3956,0.0,0.0,0.143
3276,0.0588,0.34,0.0822,0.4506,0.0002,0.0002,0.0002,0.0002
3275,0.2766,0.1826,0.4392,0.0954,0.0002,0.0212,0.2988,0.0002
268919,0.3424,0.3418,0.4178,0.4738,0.0732,0.0,0.0,0.0354
3278,0.0884,0.3494,0.1246,0.2884,0.0002,0.0002,0.0002,0.0002
3279,0.1298,0.3394,0.2888,0.0364,0.0002,0.0036,0.0032,0.0002
138431,0.2302,0.2852,0.4198,0.3344,0.38,0.0,0.0,0.1318
84283,0.1846,0.1436,0.0708,0.1176,0.0,0.0,0.0,0.0
564375,0.2114,0.28,0.3392,0.3698,0.0002,0.3796,0.4562,0.0024
295643,0.431,0.4798,0.3732,0.0906,0.0,0.0,0.0,0.0
563815,0.2286,0.4518,0.0274,0.0352,0.0002,0.2108,0.3114,0.0002
18997,0.0056,0.2538,0.0002,0.3944,0.0,0.0,0.0,0.0
18995,0.1142,0.0348,0.2826,0.3902,0.0,0.0,0.0,0.0
33373,0.0468,0.1606,0.3374,0.1562,0.0,0.0,0.0,0.0
528926,0.2964,0.0366,0.0764,0.2746,0.0002,0.004,0.0022,0.0002
528927,0.3966,0.0558,0.0776,0.4436,0.2,0.0,0.0,0.059
33379,0.3158,0.1984,0.4654,0.4292,0.1714,0.0716,0.2476,0.4626
18998,0.0524,0.008,0.2328,0.2082,0.244,0.0,0.0,0.004
18999,0.3008,0.1302,0.0072,0.0004,0.0,0.0,0.0,0.0
538318,0.1168,0.4604,0.389,0.2892,0.0398,0.0,0.0,0.4546
3311,0.4664,0.353,0.4772,0.353,0.0002,0.0002,0.0002,0.0002
3310,0.0398,0.2684,0.0116,0.3976,0.0002,0.0002,0.0002,0.0002
5326,0.4332,0.2428,0.1398,0.3064,0.0782,0.0,0.0,0.2202
87399,0.3826,0.0136,0.1068,0.4578,0.0002,0.4418,0.3376,0.0002
115614,0.4428,0.2066,0.3768,0.1406,0.0002,0.065,0.4454,0.0002
87390,0.3664,0.0134,0.1666,0.2336,0.0002,0.0226,0.1582,0.0002
87391,0.4244,0.0462,0.1274,0.2842,0.0002,0.0624,0.3746,0.002
549819,0.4544,0.2574,0.2016,0.0866,0.0002,0.089,0.0512,0.0002
93111,0.2886,0.132,0.3028,0.3438,0.0002,0.3738,0.251,0.02
148843,0.1078,0.0756,0.2832,0.295,0.3228,0.0,0.0,0.0
549742,0.227,0.1594,0.1398,0.1788,0.1152,0.0,0.0,0.4182
61,0.2066,0.3638,0.06,0.3734,0.0002,0.0002,0.0002,0.0002
272030,0.3972,0.4488,0.281,0.2988,0.0,0.0,0.0,0.0
83084,0.0266,0.3716,0.0782,0.2554,0.0,0.0,0.0,0.0
552318,0.2672,0.3568,0.2956,0.176,0.1914,0.0,0.0012,0.1378
50791,0.1022,0.008,0.2786,0.4956,0.0002,0.0002,0.0016,0.0002
552311,0.026,0.3608,0.2784,0.2692,0.028,0.0,0.0154,0.0018
559837,0.0792,0.3932,0.1042,0.4336,0.224,0.0,0.0,0.0176
137963,0.3054,0.1804,0.4902,0.303,0.0002,0.0002,0.0038,0.0002
