Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
863,0.3814,0.2262,0.3296,0.1944,0.0002,0.0,0.0,0.0002
291,0.0002,0.4098,0.0014,0.0336,0.053,0.0002,0.0002,0.0002
591,0.1114,0.3912,0.345,0.4004,0.0002,0.0002,0.0002,0.0002
590,0.0492,0.2226,0.1616,0.295,0.0002,0.0002,0.0006,0.0002
319,0.001,0.201,0.1418,0.126,0.0002,0.3378,0.2004,0.0002
1327,0.4822,0.4844,0.1486,0.2656,0.0,0.0,0.0,0.0
303,0.0014,0.011,0.1884,0.3946,0.0002,0.0,0.0,0.377
311,0.0002,0.272,0.336,0.0156,0.0002,0.2662,0.208,0.0002
310,0.0018,0.2324,0.3408,0.0014,0.0002,0.0002,0.0002,0.0002
191,0.042,0.078,0.2488,0.4956,0.0002,0.0824,0.2104,0.0002
1126,0.0002,0.4618,0.0468,0.0632,0.0,0.2124,0.0292,0.0
2478,0.4738,0.2536,0.357,0.4444,0.3344,0.0,0.0,0.3052
